"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/1994","384.80","384.50","386.50","384.30","21.30K","0.39%"
"11/09/1994","384.50","384.00","385.80","383.80","24.15K","-0.08%"
"11/10/1994","385.90","384.50","386.40","384.30","10.02K","0.36%"
"11/11/1994","385.70","385.80","386.80","385.50","12.61K","-0.05%"
"11/14/1994","385.30","385.30","386.20","385.10","18.38K","-0.10%"
"11/15/1994","387.40","387.30","387.90","386.80","21.57K","0.55%"
"11/16/1994","386.80","386.00","387.60","385.80","16.85K","-0.15%"
"11/17/1994","385.90","386.90","387.70","385.80","30.73K","-0.23%"
"11/18/1994","384.50","384.60","385.50","383.50","36.61K","-0.36%"
"11/21/1994","383.60","383.80","384.20","382.40","27.64K","-0.23%"
"11/22/1994","383.90","383.80","384.40","383.10","34.93K","0.08%"
"11/23/1994","384.70","384.70","385.50","384.50","32.40K","0.21%"
"11/28/1994","382.90","384.50","384.70","382.70","27.17K","-0.47%"
"11/29/1994","386.10","387.00","387.50","386.00","42.09K","0.84%"
"11/30/1994","384.50","386.70","387.00","383.70","40.99K","-0.41%"
"12/01/1994","382.30","383.70","384.30","380.60","40.96K","-0.57%"
"12/02/1994","379.00","382.00","382.90","378.80","25.36K","-0.86%"
"12/05/1994","379.00","379.70","380.20","377.80","19.67K","0.00%"
"12/06/1994","379.10","379.60","380.00","378.10","22.78K","0.03%"
"12/07/1994","379.20","380.00","380.50","378.10","16.58K","0.03%"
"12/08/1994","379.70","378.80","379.90","377.90","17.42K","0.13%"
"12/09/1994","379.90","378.20","380.10","377.70","13.60K","0.05%"
"12/12/1994","380.30","379.60","380.50","379.50","15.72K","0.11%"
"12/13/1994","380.30","381.30","382.00","380.20","25.42K","0.00%"
"12/14/1994","381.50","381.00","383.20","381.00","15.81K","0.32%"
"12/15/1994","382.70","381.80","382.80","381.20","18.95K","0.31%"
"12/16/1994","381.10","382.20","383.60","380.70","6.57K","-0.42%"
"12/19/1994","381.70","381.00","382.00","380.80","21.99K","0.16%"
"12/20/1994","384.20","382.50","385.20","382.50","13.37K","0.65%"
"12/21/1994","383.80","384.30","384.60","383.10","12.97K","-0.10%"
"12/22/1994","382.90","383.50","384.10","382.80","5.73K","-0.23%"
"12/23/1994","382.30","382.90","383.30","382.10","4.38K","-0.16%"
"12/27/1994","383.30","382.80","383.50","382.70","25.55K","0.26%"
"12/28/1994","385.30","383.60","385.90","383.40","23.83K","0.52%"
"12/29/1994","384.10","384.40","386.80","383.90","6.37K","-0.31%"
"12/30/1994","384.40","383.90","384.60","383.70","24.22K","0.08%"
"01/03/1995","380.90","382.40","383.40","380.70","54.28K","-0.91%"
"01/04/1995","375.30","379.20","379.90","375.20","26.82K","-1.47%"
"01/05/1995","376.60","376.00","376.70","374.70","28.33K","0.35%"
